URL,Status Code,Response Message,Domain Status,Expiration Date,For Sale,Response Time
https://www.bestwestern.com/en_US/book/hotel-rooms.05459.html?iata=00171890&ssob=BLBWI0003G,403.0,Forbidden,Fresh,2027-12-24 00:38:03,No,0.845262
http://www.seashoremotel.com/,200.0,OK,Fresh,2024-08-22 04:00:00,No,4.399847
https://www.ihg.com/holidayinnexpress/hotels/us/en/los-angeles/laxwd/hoteldetail,200.0,OK,Fresh,2024-05-03 04:00:00,No,0.837431
https://www.dorchestercollection.com/en/los-angeles/the-beverly-hills-hotel/restaurants-bars/the-polo-lounge,200.0,OK,Fresh,2024-12-23 10:37:56,No,2.164964
https://www.terranea.com/,403.0,Forbidden,Fresh,2025-01-20 07:39:34,No,0.775694
http://www.tradewindsallsuitehotel.com/,200.0,OK,Expired,2025-02-11 11:44:03,No,3.621813
https://www.carahotel.com/,403.0,Forbidden,Fresh,2031-10-23 18:09:44,No,1.233983
https://theprospecthollywood.com/,200.0,OK,Fresh,2024-11-15 19:40:07,No,1.382905
https://www.foundhotels.com/cities/santa-monica,403.0,Forbidden,Fresh,2024-12-10 16:17:46,No,1.916953
https://www.alsacehotella.com/,200.0,OK,Fresh,2024-04-10 15:55:06,No,0.977474
https://www.hollywoodsuiteshotel.com/,200.0,OK,Fresh,2025-01-10 04:23:07,No,0.87585
https://foursquare.com/explore?q=Travel%20and%20Transportation&near=Mid-City%20West%20Los%20Angeles%2C%20CA,200.0,OK,Fresh,2025-03-26 00:18:55,No,3.146577
https://www.palisociety.com/hotels/westwood-village,200.0,OK,Fresh,2027-11-16 07:31:16,No,1.047357
http://venicevhotel.com/,200.0,OK,Fresh,2026-06-09 02:46:29,No,1.192622
http://www.foghornhotel.com/,200.0,OK,Fresh,2029-01-10 02:20:24,No,1.085667
https://www.sonesta.com/,200.0,OK,Fresh,2024-07-07 04:00:00,No,0.718514
https://foursquare.com/explore?q=Travel%20and%20Transportation&near=Los%20Angeles%2C%20CA,200.0,OK,Fresh,2025-03-26 00:18:55,No,2.536664
https://www.palisociety.com/hotels/silverlake,200.0,OK,Fresh,2027-11-16 07:31:16,No,2.432108
https://www.hilton.com/en/hotels/laxwehh-hilton-los-angeles-culver-city/?y_source=1_MTkwNTY0NDktNDQwLWxvY2F0aW9uLndlYnNpdGU=,403.0,Forbidden,Fresh,2024-11-22 05:00:00,No,0.781161
https://foursquare.com/explore?q=Travel%20and%20Transportation&near=Culver%20City%2C%20CA,200.0,OK,Fresh,2025-03-26 00:18:55,No,5.063524
https://www.hyatt.com/en-US/hotel/california/thompson-hollywood/laxth,429.0,Too Many Requests,Fresh,2025-02-14 05:00:00,No,0.995048
http://backofhouse.morganshotelgroup.com/,200.0,OK,Fresh,2024-11-04 19:55:24,No,3.627765
https://www.sonesta.com/sonesta-select/ca/el-segundo/sonesta-select-los-angeles-lax-el-segundo,200.0,OK,Fresh,2024-07-07 04:00:00,No,0.807034
