URL,Status Code,Response Message,Domain Status,Expiration Date,For Sale,Response Time
archinect.com,200,OK,Fresh,2024-07-18 09:30:00+05:30,No,1.48554
place123.net,200,OK,Fresh,2024-07-09 23:55:02+05:30,No,0.922575
